"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Q1.21",0.78,NA,NA,NA,NA,NA,NA
"Q1.18",0.73,NA,NA,NA,NA,NA,NA
"Q1.19",0.7,NA,NA,NA,NA,NA,NA
"Q1.24",0.64,NA,NA,NA,NA,NA,NA
"Q1.22",0.61,NA,NA,NA,NA,NA,NA
"Q1.6",0.59,NA,NA,NA,NA,NA,NA
"Q1.7",NA,0.64,NA,NA,NA,NA,NA
"Q1.29",NA,NA,NA,NA,NA,NA,NA
"Q1.25",NA,NA,NA,NA,NA,NA,NA
"Q1.8",NA,NA,NA,NA,0.77,NA,NA
"Q1.23",NA,NA,0.53,NA,NA,NA,NA
"Q1.28",NA,NA,0.71,NA,NA,NA,NA
"Q1.1",NA,NA,NA,NA,NA,NA,0.88
"Q1.27",NA,NA,0.75,NA,NA,NA,NA
"Q1.11",NA,NA,NA,NA,NA,-0.65,NA
"Q1.20",NA,NA,0.61,NA,NA,NA,NA
"Q1.4",NA,NA,NA,0.72,NA,NA,NA
"Q1.15",NA,NA,NA,NA,NA,NA,NA
"Q1.10",NA,NA,NA,NA,NA,0.7,NA
"Q1.3",NA,0.72,NA,NA,NA,NA,NA
"Q1.5",NA,NA,NA,0.6,NA,NA,NA
"Q1.9",NA,0.85,NA,NA,NA,NA,NA
"Q1.26",NA,0.57,NA,NA,NA,NA,NA
"Q1.16",NA,NA,0.63,NA,NA,NA,NA
"Q1.14",NA,0.51,NA,NA,NA,NA,NA
"Q1.2",NA,NA,NA,NA,0.61,NA,NA
"Q1.17",NA,NA,0.58,NA,NA,NA,NA
"Q1.12",NA,NA,NA,NA,0.7,NA,NA
"Q1.13",NA,0.6,NA,NA,NA,NA,NA
